doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01001001___b0ac065467,空城计,司马懿,pdf_01000000__01001001___b0ac065467__char__e9c71dfd96,15,58,1.0,1.0,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,诸葛亮,pdf_01000000__01001001___b0ac065467__char__5edf330a7c,13,54,0.8667,0.931,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,龙套,pdf_01000000__01001001___b0ac065467__char__25554deeec,9,28,0.6,0.4828,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,赵云,pdf_01000000__01001001___b0ac065467__char__44d28f079c,9,18,0.6,0.3103,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,司马昭,pdf_01000000__01001001___b0ac065467__char__a14a4026de,7,29,0.4667,0.5,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,司马师,pdf_01000000__01001001___b0ac065467__char__07d1623981,6,19,0.4,0.3276,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,报子,pdf_01000000__01001001___b0ac065467__char__b53e9bab9b,6,10,0.4,0.1724,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,旗牌,pdf_01000000__01001001___b0ac065467__char__32be7549a5,4,18,0.2667,0.3103,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,童儿,pdf_01000000__01001001___b0ac065467__char__359a379371,4,9,0.2667,0.1552,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,老军,pdf_01000000__01001001___b0ac065467__char__4564147e83,4,6,0.2667,0.1034,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,众人,pdf_01000000__01001001___b0ac065467__char__e4a08b5743,4,4,0.2667,0.069,relations_aggregated
pdf_01000000__01001001___b0ac065467,空城计,马谡,pdf_01000000__01001001___b0ac065467__char__29724e4ee6,1,1,0.0667,0.0172,relations_aggregated
