doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,theme_label,weight,evidence,derived_by
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,权谋,5,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,战争,3,司马懿率司马师、司马昭及四白龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,冒险,2,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,使命,1,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,喜剧,1,# 《空城计》（一名：《抚琴退兵》）,keyword
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,威慑,1,司马懿得知西城为空城，欲复夺城池，遭遇赵云阻截，司马懿因畏惧赵云而收兵撤退。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,家国,1,# 《空城计》（一名：《抚琴退兵》）,keyword
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,悔悟,1,司马懿与司马昭讨论空城计，司马懿懊悔自己胆怯，认为诸葛亮胆大，决定悄悄收兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,悲情,1,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,疑心,1,诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵四十里，随后命赵云准备迎敌。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,离散,1,# 《空城计》（一名：《抚琴退兵》）,keyword
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,紧张氛围,1,司马懿率司马师、司马昭及四白龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,胆识,1,司马懿与司马昭讨论空城计，司马懿懊悔自己胆怯，认为诸葛亮胆大，决定悄悄收兵。,llm
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,铺垫,1,赵云率四上手急急风过场，显示蜀军调动，为后续空城计做铺垫。,llm
