doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__000,0,序幕/前置内容,铺垫,引子,3,0.6,0.0,0.0,0.0,退兵,0,scene_metrics
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__001,1,【第一场】,高潮,高潮,5,1.0,0.3125,0.0,0.3125,诸葛亮从被动失守转为主动设空城计，决断以险招应对,1,scene_metrics
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__002,2,【第二场】,铺垫,过渡,2,0.4,0.0,0.0,0.0,无转折，仅为场景过渡,0,scene_metrics
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__003,3,【第三场】,铺垫,过渡,1,0.2,0.0,0.0,0.0,无,0,scene_metrics
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__004,4,【第四场】,高潮,高潮,5,1.0,0.4643,0.1429,0.6071,司马懿因疑心而放弃攻城，决定退兵，形成剧情转折,1,scene_metrics
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__005,5,【第五场】,转折,反转,4,0.8,0.2692,0.0,0.2692,司马懿因赵云出现而放弃攻城，形成战略转折,1,scene_metrics
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__006,6,【第六场】,收束,收束,3,0.6,0.2308,0.0,0.2308,司马懿从怀疑到确认中计，做出撤兵决断,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__001,1,【第一场】,铺垫,引子,1,0.2,0.0833,0.0,0.0833,无转折，仅为角色引入。,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__002,2,【第二场】,发展,推进,3,0.6,1.75,0.0,1.75,发现前次盗骨为假，引出新的盗骨任务,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__003,3,【第三场】,发展,推进,3,0.6,0.3462,0.0385,0.3846,焦赞发现孟良盗回假骨，并得知真骨位置，决定独自行动，引发后续冲突。,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__004,4,【第四场】,铺垫,引子,1,0.2,0.0,0.0,0.0,无显著转折,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__005,5,【第五场】,过渡,过渡,1,0.2,0.0,0.0,0.0,无显著转折,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__006,6,【第六场】,发展,推进,3,0.6,1.7,0.0,1.7,程宣决定从小道为孟良报信，埋下后续冲突伏笔,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__007,7,【第七场】,收束,收束,3,0.6,0.5,0.0,0.5,孟良自刎，完成焦赞之死的后续悲剧收场,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__008,8,【第八场】,高潮,高潮,5,1.0,6.1667,0.0,6.1667,杨延昭得知两位结义兄弟惨死，情绪崩溃，预示其身体与精神双重危机。,1,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__009,9,【第九场】,铺垫,引子,1,0.2,0.0,0.0,0.0,无转折,0,scene_metrics
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__010,10,【第十场】,高潮,高潮,5,1.0,0.4444,0.0,0.4444,杨延昭去世，剧情进入收束阶段,1,scene_metrics
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,pdf_01000000__01001003___c7b0d12542__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,pdf_01000000__01001004___c0c4e6569b__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,pdf_01000000__01001004___c0c4e6569b__scene__001,1,【第一场】,发展,推进,4,1.0,1.8478,0.0,1.8478,张别古从拒绝到答应带乌盆见官，冤魂身份揭露并推动诉讼行动,1,scene_metrics
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,pdf_01000000__01001004___c0c4e6569b__scene__002,2,【第二场】,发展,推进,3,0.75,1.1765,0.0,1.1765,包拯从怀疑到相信乌盆有冤，下令传唤赵大夫妻，案件正式进入审理阶段。,1,scene_metrics
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__scene__001,1,【第一场】,铺垫,引子,1,0.2,0.25,0.0,0.25,无转折，仅为人物性格与情绪铺垫。,0,scene_metrics
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__scene__002,2,【第二场】,冲突,推进,4,0.8,4.0,0.9,4.9,冲突升级：祢衡从礼节不满转为公开辱骂曹操集团，曹操从试探转为羞辱性压制。,1,scene_metrics
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__scene__003,3,【第四场】,高潮,对峙,5,1.0,5.5333,1.5333,7.0667,祢衡从辱骂转为被迫接受曹操命令，冲突从直接对抗转为间接压制。,1,scene_metrics
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,pdf_01000000__01001006___06011d42c6__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,pdf_01000000__01001006___06011d42c6__scene__001,1,【第一场】,转折,反转,4,0.8,0.7414,0.1207,0.8621,陈宫从抓捕者转变为同盟者，决定弃官与曹操共谋大事,1,scene_metrics
