doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,alias_name,canonical_name,char_id,alias_char_id,derived_by
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马,司马懿,pdf_01000000__01001001___b0ac065467__char__e9c71dfd96,pdf_01000000__01001001___b0ac065467__char__02048e72af,rule
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马仲达,司马懿,pdf_01000000__01001001___b0ac065467__char__e9c71dfd96,pdf_01000000__01001001___b0ac065467__char__03371a3a35,rule
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,子龙,赵云,pdf_01000000__01001001___b0ac065467__char__44d28f079c,pdf_01000000__01001001___b0ac065467__char__6c75c0bb50,rule
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,孔明,诸葛亮,pdf_01000000__01001001___b0ac065467__char__5edf330a7c,pdf_01000000__01001001___b0ac065467__char__fbf250fa99,rule
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,诸葛,诸葛亮,pdf_01000000__01001001___b0ac065467__char__5edf330a7c,pdf_01000000__01001001___b0ac065467__char__7b8a174dba,rule
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,诸葛孔明,诸葛亮,pdf_01000000__01001001___b0ac065467__char__5edf330a7c,pdf_01000000__01001001___b0ac065467__char__35e4e17be7,rule
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,赵子龙,赵云,pdf_01000000__01001001___b0ac065467__char__44d28f079c,pdf_01000000__01001001___b0ac065467__char__947efcfe5a,rule
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,孟德,曹操,pdf_01000000__01001005___9cd2b8992a__char__84a1b18ff1,pdf_01000000__01001005___9cd2b8992a__char__7a7d990858,rule
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,孟德,曹操,pdf_01000000__01001006___06011d42c6__char__9353441b83,pdf_01000000__01001006___06011d42c6__char__d01a8a2ab4,rule
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,孔明,诸葛亮,pdf_01000000__01001008___4e2bf00560__char__9dffb49a33,pdf_01000000__01001008___4e2bf00560__char__195d73e8c8,rule
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,玄德,刘备,pdf_01000000__01001008___4e2bf00560__char__fd35540fd1,pdf_01000000__01001008___4e2bf00560__char__bf584a62b1,rule
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,皇叔,刘备,pdf_01000000__01001008___4e2bf00560__char__fd35540fd1,pdf_01000000__01001008___4e2bf00560__char__3e3bc079d2,rule
