doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马懿,司马昭,命令,9,同场共现；命令；对话；评价,父子同行，司马懿为主帅,llm,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马懿,诸葛亮,命令,9,命令；对话；提及；评价,"待我说破于他。诸葛亮呀,诸葛孔明,你实城也罢,空城也罢,你司马老爷是不进城了。请呀请呀!",mention,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,诸葛亮,司马懿,提及,9,对话；提及；试探,"兵扎祁山地,要擒司马懿。",llm,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马懿,龙套,同场共现,7,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,旗牌,诸葛亮,汇报,7,对话；汇报,献地理图，奉王将军所差,llm,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,诸葛亮,旗牌,命令,7,命令；对话,命旗牌去列柳城调赵老将,llm,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马昭,司马懿,对话,6,劝阻；对话,"听他琴内慌迫,一定是空城。乘此机会,杀进城去......",adjacency,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,诸葛亮,赵云,命令,6,命令；对话,诸葛亮命赵云抵挡一阵以防司马懿复来,llm,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马懿,司马师,命令,5,同场共现；命令,父子同行，司马懿为主帅,llm,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马师,司马昭,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马师,龙套,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马懿,赵云,对抗,4,同场共现；对抗；对话；提及,司马懿见赵云后立即收兵,llm,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,司马昭,龙套,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,龙套,司马师,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,龙套,司马昭,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction,
