doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__000,0,序幕/前置内容,1,1,28,,,# 《空城计》（一名：《抚琴退兵》）,对峙,# 《空城计》（一名：《抚琴退兵》）,铺垫,3,,权谋；战争；家国；喜剧；离散,引子,退兵,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__001,1,【第一场】,29,29,188,西城,马谡失守街亭后，司马懿大军逼近时,诸葛亮定下空城计，准备以空城迎敌,诸葛亮下令打开城门，携琴上敌楼,诸葛亮得知马谡失守街亭，司马懿大军逼近西城，城内空虚，遂定空城计，命老军打开城门，携琴童上敌楼抚琴。,高潮,5,诸葛亮；旗牌；报子；二老军；童儿,权谋；疾病与死亡；使命；冒险,高潮,诸葛亮从被动失守转为主动设空城计，决断以险招应对,诸葛亮；旗牌；童儿；报子；二老军；老军甲；老军乙,99,50,0,0.3125,0.0,0.3125,12,37,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__002,2,【第二场】,189,189,192,行军途中,未知,司马懿父子率军急行过场,行军,司马懿率司马师、司马昭及四白龙套急急风过场，显示魏军快速行军，为后续兵临城下做铺垫。,铺垫,2,司马懿；司马师；司马昭,战争；紧张氛围,过渡,无转折，仅为场景过渡,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__003,3,【第三场】,193,193,196,未知,未知,赵云率军急行过场,急行军,赵云率四上手急急风过场，显示蜀军调动，为后续空城计做铺垫。,铺垫,1,赵云,战争；铺垫,过渡,无,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__004,4,【第四场】,197,197,224,西城城楼,两军对峙时,诸葛亮以空城计退司马懿大军,抚琴、对话、退兵,诸葛亮在城楼抚琴，以空城计迷惑司马懿，使其疑有伏兵而退兵四十里，随后命赵云准备迎敌。,高潮,5,诸葛亮；司马懿；司马昭；赵云,权谋；疑心；权谋；冒险,高潮,司马懿因疑心而放弃攻城，决定退兵，形成剧情转折,众人；诸葛亮；司马懿；司马昭；二老军；赵云,23,13,4,0.4643,0.1429,0.6071,5,1,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__005,5,【第五场】,225,225,250,西城城外,两军交战时刻,司马懿欲夺空城，遇赵云后收兵撤退,司马懿下令收兵,司马懿得知西城为空城，欲复夺城池，遭遇赵云阻截，司马懿因畏惧赵云而收兵撤退。,转折,4,司马懿；赵云,权谋；威慑；权谋,反转,司马懿因赵云出现而放弃攻城，形成战略转折,报子；司马懿；司马昭；赵云,12,7,0,0.2692,0.0,0.2692,4,1,
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,pdf_01000000__01001001___b0ac065467__scene__006,6,【第六场】,251,251,263,城下,战后,司马懿确认中计，决定撤兵,收兵,司马懿与司马昭讨论空城计，司马懿懊悔自己胆怯，认为诸葛亮胆大，决定悄悄收兵。,收束,3,司马懿；司马昭,权谋；胆识；悔悟,收束,司马懿从怀疑到确认中计，做出撤兵决断,司马懿；司马昭,6,3,0,0.2308,0.0,0.2308,3,0,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__000,0,序幕/前置内容,1,1,34,,,# 《洪羊洞》；# （一名：《孟良盗骨》；一名：《三星归位》）,命令,# 《洪羊洞》；# （一名：《孟良盗骨》；一名：《三星归位》）,铺垫,0,,忠义；战争；情爱；离散,引子,,,2,0,0,0.0,0.0,0.0,0,2,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__001,1,【第一场】,35,35,46,不明,死后,杨继业鬼魂登场，自述忠魂身份。,念白,杨继业以鬼魂身份登场，念白表明其忠魂不灭，为后续剧情铺垫。,铺垫,1,杨继业,忠义；幽冥,引子,无转折，仅为角色引入。,杨继业,5,1,0,0.0833,0.0,0.0833,3,1,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__002,2,【第二场】,47,47,58,宋营帐中,二更至三更,杨继业托兆揭示真骨所在，杨延昭命孟良二次盗骨,托梦与下令,杨延昭梦父杨继业托兆，告知前次盗骨为假，真骨在洪羊洞望乡台第三层，遂命孟良二下番营盗骨。,发展,3,杨延昭；杨继业；孟良,忠义；托梦；盗骨,推进,发现前次盗骨为假，引出新的盗骨任务,杨继业；杨延昭；家院；孟良,24,21,0,1.75,0.0,1.75,2,1,
