doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01004007___a24f152422,取荥阳,张良,pdf_01000000__01004007___a24f152422__char__e10527aec4,12,72,1.0,0.6729,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,纪信,pdf_01000000__01004007___a24f152422__char__a372b268f6,10,68,0.8333,0.6355,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,刘邦,pdf_01000000__01004007___a24f152422__char__0f4752d27f,10,107,0.8333,1.0,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,随何,pdf_01000000__01004007___a24f152422__char__29c0118b8f,8,26,0.6667,0.243,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,陈平,pdf_01000000__01004007___a24f152422__char__6d6196f178,6,22,0.5,0.2056,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,项羽,pdf_01000000__01004007___a24f152422__char__ab10a2c068,4,23,0.3333,0.215,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,曹参,pdf_01000000__01004007___a24f152422__char__ed4859245c,4,7,0.3333,0.0654,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,童儿,pdf_01000000__01004007___a24f152422__char__5ef79b5159,2,4,0.1667,0.0374,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,周勃,pdf_01000000__01004007___a24f152422__char__4b8f645a07,2,2,0.1667,0.0187,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,随何张良,pdf_01000000__01004007___a24f152422__char__c4ab11050a,2,2,0.1667,0.0187,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,龙套,pdf_01000000__01004007___a24f152422__char__2069c035f9,1,2,0.0833,0.0187,relations_aggregated
pdf_01000000__01004007___a24f152422,取荥阳,众人,pdf_01000000__01004007___a24f152422__char__8abcd73d3b,1,1,0.0833,0.0093,relations_aggregated
