doc_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,cue,text,raw_line
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,1,narration,narration,,,# 《洪羊洞》,# 《洪羊洞》
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,3,narration,narration,,,# （一名：《孟良盗骨》；一名：《三星归位》）,# （一名：《孟良盗骨》；一名：《三星归位》）
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,35,narration,narration,,,# 【第一场】,# 【第一场】
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,37,stage_direction,stage_direction,,杨继业上，二鬼卒同上。,,（杨继业上，二鬼卒同上。）
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,39,narration,narration,,,"<table><tr><td rowspan=""3"">杨继业</td><td>(念)</td><td>在生为大将,死后作忠魂。</td></tr><tr><td>(白)</td><td>吾乃杨继业鬼魂是也。只因六郎前番命人盗取尸骸,乃是假的;真尸骨现在洪羊洞,第三层石匣内。我不免去到宋营,托兆与六郎便了。</td></tr><tr><td>(二黄原板)</td><td>我杨家保宋主忠心秉正,到如今尸骸骨不曾回程。六郎儿他命人搬尸回郡,这都是萧天佐以假为真。叫鬼卒——</td></tr></table>","<table><tr><td rowspan=""3"">杨继业</td><td>(念)</td><td>在生为大将,死后作忠魂。</td></tr><tr><td>(白)</td><td>吾乃杨继业鬼魂是也。只因六郎前番命人盗取尸骸,乃是假的;真尸骨现在洪羊洞,第三层石匣内。我不免去到宋营,托兆与六郎便了。</td></tr><tr><td>(二黄原板)</td><td>我杨家保宋主忠心秉正,到如今尸骸骨不曾回程。六郎儿他命人搬尸回郡,这都是萧天佐以假为真。叫鬼卒——</td></tr></table>"
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,41,stage_direction,stage_direction,,二鬼卒同允。,,（二鬼卒同允。）
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,43,narration,narration,,,"<table><tr><td>杨继业</td><td>(二黄原板)</td><td>驾阴风宋营来进,见了那六郎细说分明。</td></tr></table>","<table><tr><td>杨继业</td><td>(二黄原板)</td><td>驾阴风宋营来进,见了那六郎细说分明。</td></tr></table>"
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,45,stage_direction,stage_direction,,杨继业、二鬼卒同下。,,（杨继业、二鬼卒同下。）
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,47,narration,narration,,,# 【第二场】,# 【第二场】
pdf_01000000__01001002___575bd35247,01001002_洪羊洞.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001002_洪羊洞.pdf,01000000/01001002_洪羊洞.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,49,stage_direction,stage_direction,,二更鼓。家院提灯上，杨延昭上。,,（二更鼓。家院提灯上，杨延昭上。）
