doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,derived_by
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨继业,杨延昭,对话/应答,对话,1,听谯楼打罢了三更时分，,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨延昭,杨继业,对话/应答,对话,1,"猛抬头又只见去世爹尊。曾记得两狼山何等光景,哪有个人死后又能复生。父子们重相逢犹如破镜,",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨继业,家院,对话/应答,对话,1,"我的儿休贪睡细听分明:儿前番盗父的尸骸回郡,这都是萧天佐弄假成真。父尸骸在北国洪羊洞,望乡台第三层那才是真。父本当与我儿多把话论,怕的是天明亮难以回程。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,家院,杨延昭,对话/应答,对话,1,元帅醒来。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨延昭,家院,对话/应答,对话,1,"适才间遇我父来到宋营,醒来时不由我遍体汗淋。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,家院,孟良,对话/应答,对话,1,孟二爷进帐。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,孟良,杨延昭,对话/应答,对话,7,"不听皇王诏宣,单听杨家令传。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨延昭,孟良,对话/应答,对话,7,"贤弟少礼,请坐。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,3,【第三场】,家院,焦赞,对话/应答,对话,3,乃是假的。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,3,【第三场】,焦赞,家院,对话/应答,对话,2,真的呢?,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,3,【第三场】,焦赞,孟良,提及,提及,1,"元帅做事差又差,差了孟良不差咱。家院带过爷的马,这场功劳岂让他。",mention
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,孟良,程宣,对话/应答,对话,6,呔!你可是奸细?,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,程宣,孟良,对话/应答,对话,6,"爷爷饶命,我不是奸细,我是这里的更夫。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,孟良,焦赞,对话/应答,对话,1,"等你孟二爷回来,将你带回南朝。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,焦赞,程宣,对话/应答,对话,2,呔!可曾看见一红脸大汉过去?,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,程宣,焦赞,对话/应答,对话,1,方才过去。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,7,【第七场】,孟良,程宣,对话/应答,对话,1,"且住,焦赞一死,叫我有何脸面,去见元帅。也罢,不免拜谢圣恩,寻个自尽了罢。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,7,【第七场】,孟良,焦赞,礼节/隶属,礼节/隶属,1,"且住,焦赞一死,叫我有何脸面,去见元帅。也罢,不免拜谢圣恩,寻个自尽了罢。",mention
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,家院,对话/应答,对话,3,"孟良盗骨无音信,好叫本帅挂在心。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,家院,杨延昭,对话/应答,对话,2,少站一时。启禀元帅:小番要见。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,家院,程宣,对话/应答,对话,1,"小番,元帅传你,小心了。",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,程宣,杨延昭,对话/应答,对话,14,"是。元帅在哪里,元帅在哪里?",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,程宣,对话/应答,对话,13,"哽,胆大小番,见了本帅,为何不跪?",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,孟良,提及,提及,1,"孟良盗骨无音信,好叫本帅挂在心。",mention
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,程宣,提及,提及,1,"程宣,你奉何人所差?",mention
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,焦赞,提及,提及,1,"哎呀!听说焦赞丧番营,汗马功劳一旦倾。",mention
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,焦赞,命令/请求,命令,1,"哎呀!听说是二贤弟命丧北洲,焦赞,孟良,哎呀!",mention
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,孟良,命令/请求,命令,1,"哎呀!听说是二贤弟命丧北洲,焦赞,孟良,哎呀!",mention
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,赵德芳,对话/应答,对话,3,我杨家保宋主心血用尽，最可叹焦孟将他命丧番营。宗保儿搀为父病房来进，休得要惊动了年迈太君。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,赵德芳,杨宗保,对话/应答,对话,5,来至在郡马府忙下金镫，（四大铠、大太监同下。）,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨宗保,赵德芳,对话/应答,对话,5,迎接千岁。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,赵德芳,杨延昭,对话/应答,对话,3,带路。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,杨宗保,对话/应答,对话,2,哦。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨宗保,佘太君,对话/应答,对话,1,有请祖母、娘亲。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,佘太君,柴夫人,对话/应答,对话,2,"听说宗保一声请,",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,柴夫人,佘太君,对话/应答,对话,1,急忙上前问分明。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,佘太君,杨延昭,对话/应答,对话,2,我儿醒来。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,柴夫人,对话/应答,对话,1,"耳边厢又听得有人声音,",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,柴夫人,杨延昭,对话/应答,对话,1,哎呀!,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨宗保,杨延昭,对话/应答,对话,1,爹爹吓!,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,佘太君,对话/应答,对话,2,"我面前站定了许多鬼魂。焦克明在一旁心怀愤愤,那孟、孟、孟佩仓笑嘻嘻,拱手相迎。小岳胜在一旁威风凛凛,啊,",adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,柴夫人,赵德芳,对话/应答,对话,1,怎不叫人痛在心。,adjacency
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,柴夫人,提及,提及,1,"柴夫人近前来夫有话论,必须要早晚间侍奉娘亲。",mention
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,柴夫人,礼节/隶属,礼节/隶属,1,"宗保儿跪床前听父教训:必须要秉忠心扶保乾坤。柴夫人,宗保儿,将我搀定,杨延昭离病床叩谢龙恩。再不能与我主把狼烟扫尽,再不能与我主在那万马军营。叩罢头抽身起站立不",mention
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨宗保,杨延昭,同场共现,同场共现,1,（杨宗保搀杨延昭同上。）,stage_direction
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨继业,杨延昭,告知,告知,1,"父尸骸在北国洪羊洞,望乡台第三层那才是真",llm
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,杨延昭,孟良,命令,命令,1,"我有意命贤弟,二下番营盗骨",llm
pdf_01000000__01001002___575bd35247,洪羊洞,2,【第二场】,孟良,杨延昭,服从,服从,1,"未将好比元帅跨下之骑,扬鞭就走",llm
pdf_01000000__01001002___575bd35247,洪羊洞,3,【第三场】,家院,焦赞,汇报,汇报,1,忙将机密事，报与老爷知。,llm
pdf_01000000__01001002___575bd35247,洪羊洞,3,【第三场】,焦赞,家院,命令,命令,1,家院，倘若元帅要问，就说我染病在床。,llm
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,孟良,程宣,命令,命令,2,孟良盘问程宣并承诺带其回南朝,llm
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,程宣,孟良,协助,协助,2,程宣告知洪羊洞位置并决定报信,llm
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,焦赞,程宣,命令,命令,1,焦赞喝问程宣是否看见红脸大汉,llm
pdf_01000000__01001002___575bd35247,洪羊洞,6,【第六场】,程宣,焦赞,评价,评价,1,程宣认为焦赞不是好人，可能加害孟良,llm
pdf_01000000__01001002___575bd35247,洪羊洞,7,【第七场】,孟良,程宣,旁观,旁观,1,程宣目睹孟良自刎,llm
pdf_01000000__01001002___575bd35247,洪羊洞,7,【第七场】,程宣,孟良,评价,评价,1,程宣解释孟良自刎原因,llm
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,程宣,杨延昭,汇报,汇报,3,程宣向杨延昭报告孟良、焦赞死讯,llm
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,程宣,命令,命令,2,杨延昭命令程宣小心护送尸骨,llm
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,孟良,提及,提及,2,杨延昭询问孟良下落并哀悼,llm
pdf_01000000__01001002___575bd35247,洪羊洞,8,【第八场】,杨延昭,焦赞,提及,提及,2,杨延昭听闻焦赞死讯悲痛,llm
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,赵德芳,汇报,汇报,3,杨延昭向赵德芳说明病由：搬请父骨、焦孟丧命,llm
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,柴夫人,命令,命令,2,杨延昭嘱咐柴夫人：早晚间侍奉娘亲,llm
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,杨延昭,杨宗保,命令,命令,2,杨延昭教训宗保：必须要秉忠心扶保乾坤,llm
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,赵德芳,佘太君,劝阻,劝阻,2,赵德芳劝太君休得要珠泪淋淋，千斤担有我担承,llm
pdf_01000000__01001002___575bd35247,洪羊洞,10,【第十场】,赵德芳,杨宗保,命令,命令,1,赵德芳叫宗保随定孤去见当今,llm
