doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01006003___dc57119794,草桥关,姚期,pdf_01000000__01006003___dc57119794__char__a94ba5a871,20,83,1.0,1.0,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,刘秀,pdf_01000000__01006003___dc57119794__char__882ff0af5a,12,38,0.6,0.4578,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,马武,pdf_01000000__01006003___dc57119794__char__84e9fcc8b7,10,37,0.5,0.4458,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,岑彭,pdf_01000000__01006003___dc57119794__char__f700aabbc3,8,26,0.4,0.3133,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,杜茂,pdf_01000000__01006003___dc57119794__char__1cd8047e98,7,25,0.35,0.3012,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,姚夫人,pdf_01000000__01006003___dc57119794__char__67f999294d,6,14,0.3,0.1687,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,郭妃,pdf_01000000__01006003___dc57119794__char__037357c442,6,16,0.3,0.1928,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,郭荣,pdf_01000000__01006003___dc57119794__char__4a95154ec0,6,9,0.3,0.1084,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,龙套,pdf_01000000__01006003___dc57119794__char__3234ad56aa,5,30,0.25,0.3614,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,姚刚,pdf_01000000__01006003___dc57119794__char__8bb5737bf8,5,9,0.25,0.1084,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,太监甲,pdf_01000000__01006003___dc57119794__char__a79756168e,3,6,0.15,0.0723,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,中军,pdf_01000000__01006003___dc57119794__char__d1855ee185,2,7,0.1,0.0843,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,众人,pdf_01000000__01006003___dc57119794__char__49a97456a6,2,5,0.1,0.0602,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,旗牌,pdf_01000000__01006003___dc57119794__char__9307a6882a,2,3,0.1,0.0361,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,太监,pdf_01000000__01006003___dc57119794__char__23967cfe66,2,2,0.1,0.0241,relations_aggregated
pdf_01000000__01006003___dc57119794,草桥关,姚能,pdf_01000000__01006003___dc57119794__char__27508b95eb,2,2,0.1,0.0241,relations_aggregated
