doc_id,doc_title,char_id,role_name,alias_names,role_type_raw,role_type_inferred,gender_inferred,age_inferred,status_identity,personality_tags,behavior_tags,speech_style,narrative_function,line_count,scene_coverage,scene_count_present,centrality_hint,evidence,source_line,raw,confidence,llm_error,role_note
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__6b55d1ef0f,王有道,,老生,老生,男,中年,书生、举子,传统守礼；重功名；多疑；易怒,赴考；休妻；饮酒,文雅；引经据典；情绪化,主角,51,2；7；8；10,4,0.8912,"王有道（引子）磨穿铁砚,这襟怀,须让前贤。 王有道（白）非为别事,今乃会试之年,唤你们好好看守门户,我要入场会试。 王有道（西皮快板）这一科金榜上若有名姓,终不愧王有道苦读五经。 王有道（白）你嫂嫂既遇大雨,就该寻一个所在避雨才是,何必冒雨而归,成什么样儿。",7,王有道：老生,0.95,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__093c0e2e74,孟月华,,正旦,正旦,女,青年,王有道之妻,贤惠；孝顺；谨慎；隐忍,敬夫；持家；避雨；归宁,温柔；恭敬；委婉,主角,58,2；4；6；7；10,5,1.0,"孟月华（白）亲操井臼侍衾稠, 孟月华（西皮慢板）奴这里夫妻情把盏奉敬,你本是清风客谪仙之人。 孟月华（白）原来为此事而来。吓,德禄,你姑爷入场会试去了。我若回去,只剩姑娘一人在家。无人照管门户,难以回去。",9,孟月华：正旦,0.95,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__bfdd568ddf,柳生春,,小生,小生,男,青年,书生、举子,正直；守礼；自律；虔诚,避雨；守夜；应试；自省,谦逊；文雅；内省,配角,9,4；8；10,3,0.2585,"柳生春（西皮二六板）礼法嫌疑当要紧,我淫人妇妇淫人。感应篇上答报应,读书之人要志诚。 柳生春（白）暗室之中,并未交言,怎知姓氏。 柳生春（白）门生家业寒素,德薄才庸。蒙恩师山斗之恩,开及意外。生思并无阴骘。",11,柳生春：小生,0.95,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__7c8b4fd422,王淑英,,正旦,正旦,女,青年,王有道之妹,活泼；直率；关心兄长；善解人意,陪伴嫂嫂；照管门户；劝慰,明快；亲切；略带俏皮,配角,36,2；6；7,3,0.5578,"王淑英（白）哥哥,我嫂嫂备得有酒,与哥哥庆贺。 王淑英（西皮原板）那时间我嫂嫂诰命封赠,打点起精神来要做夫人。 王淑英（白）嫂嫂放心,门户有我照应。",13,王淑英：正旦,0.9,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__43db383770,孟德禄,,丑,丑,男,青年,孟家仆人,机灵；油滑；热心；爱耍小聪明,传话；接人；装病,口语化；诙谐；夸张,功能性角色,17,2；4；9；10,4,0.2789,"孟德禄（西皮原板）才离了孟家庄不多路远,不觉得又到了姑爷家门。 孟德禄（白）员外、安人,说清明佳节,叫我来接你回去,上坟祭祖。 孟德禄（白）哦,是了。吓哎吓,肚子疼死我也。",15,孟德禄：丑,0.9,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__ea8a072768,孟明时,,外,外,男,老年,孟月华之父,传统；重男轻女；多愁善感；固执,祭祖；抱怨无子；留女,感叹；絮叨；略带怨气,配角,17,4；7；10,3,0.2857,"孟明时（西皮原板）叹世人在阳间何必争论,看起来净都是黄土新坟。我二老无子嗣终身怨恨,幸得有孝顺女半子收成。 孟明时（白）吓,安人,想我孟明时,并无过恶,如何无子,将来百年之后,何人到坟前祭扫?",17,孟明时：外,0.9,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__0104a3054d,孟夫人,,老旦,老旦,女,老年,孟月华之母,慈爱；明理；护女；温和,劝慰丈夫；留女；关心女儿,温和；劝解；略带无奈,配角,20,4；7,2,0.2789,"孟夫人（白）员外每缝祭祖回来,就有许多浮话,难道女婿不是亲人么?我二老去世,女儿、女婿,岂无祭物前来祭扫,何必犹虑呢。 孟夫人（白）儿吓,你到底为何而来?",19,孟夫人：老旦,0.9,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__f2ded23f34,申嵩,,老生,老生,男,老年,主考官,公正；爱才；严谨；重视德行,阅卷；问话；提拔后进,官腔；文雅；严肃,功能性角色,31,1；6；8,3,0.4218,"申嵩（引子）君正臣贤,享太平,盛世丰年。 申嵩（白）吩咐众举交卷。 申嵩（白）“正是文章千古事,得失寸心知。趋异而品亦分,惟争于所求焉。”",21,申嵩：老生,0.9,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__c6a25b69fe,进士甲,,末,末,男,中年,新科进士,文雅；得意,吟诗；赴宴,文言；庄重,功能性角色,1,8,1,0.0136,进士甲（念）新沐洪恩赋上林。,23,进士甲：末,0.8,,
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__char__e3ac58e334,进士乙,,老生,老生,男,中年,新科进士,文雅；得意,吟诗；赴宴,文言；庄重,功能性角色,0,,0,0.0,进士乙（念）……（与进士甲同场，身份相似）,25,进士乙：老生,0.7,,
