doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__001,1,【第一场】,铺垫,引子,3,0.6,0.1,0.0,0.1,张辽明确表达反汉拥曹的意图，为后续冲突埋下伏笔。,0,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__002,2,【第二场】,冲突,推进,4,0.8,8.6667,0.0,8.6667,荀攸反对并气死，曹操假意斥责但实际默许，转折点在于曹操的虚伪表态与后续安排。,1,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__003,3,【第三场】,铺垫,铺垫,2,0.4,1.6667,0.0,1.6667,无重大转折，但为后续冲突埋下伏笔,0,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__004,4,【第四场】,发展,推进,4,0.8,0.9444,0.0556,1.0,汉献帝决定写血诏并派穆顺出宫搬兵，冲突从宫内对峙转向外部求援。,1,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__005,5,【第五场】,铺垫,过渡,1,0.2,0.1429,0.0,0.1429,无显著转折，仅为场景转换。,0,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__006,6,【第六场】,发展,推进,3,0.6,0.2727,0.0,0.2727,夏侯渊发现穆顺异常行踪，引发对伏相府的怀疑，推动后续冲突。,0,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__007,7,【第七场】,高潮,高潮,5,1.0,2.3,0.0,2.3,穆顺被搜出密诏，冲突从暗讽升级为公开对抗，曹操决定采取极端行动。,1,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__008,8,【第八场】,高潮,高潮,5,1.0,0.4118,0.0,0.4118,冲突升级：华歆直接武力抓捕伏后，汉献帝彻底失去保护能力,1,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__009,9,【第九场】,高潮,高潮,5,1.0,3.8333,0.0,3.8333,冲突升级：从处决伏后到决定斩草除根，曹操的暴虐进一步加剧。,1,scene_metrics
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__scene__010,10,【第十场】,高潮,高潮,5,1.0,8.4,0.0,8.4,曹操从饶恕二皇子转为下令毒杀，冲突升级至顶点,1,scene_metrics
