doc_id,doc_title,scene_index,scene,theme_label,evidence,derived_by
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,1,【第一场】,忠义,"（）<table><tr><td colspan=""3"">(祢衡上。)</td></tr><tr><td rowspan=""6"">祢衡</td><td>(引子)",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,1,【第一场】,权谋,"（）<table><tr><td colspan=""3"">(祢衡上。)</td></tr><tr><td rowspan=""6"">祢衡</td><td>(引子)",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,1,【第一场】,家国,"（）<table><tr><td colspan=""3"">(祢衡上。)</td></tr><tr><td rowspan=""6"">祢衡</td><td>(引子)",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,1,【第一场】,亲情,"（）<table><tr><td colspan=""3"">(祢衡上。)</td></tr><tr><td rowspan=""6"">祢衡</td><td>(引子)",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,1,【第一场】,喜剧,"（）<table><tr><td colspan=""3"">(祢衡上。)</td></tr><tr><td rowspan=""6"">祢衡</td><td>(引子)",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,权谋,"（）<table><tr><td colspan=""3"">(四文堂引曹操同上。)</td></tr><tr><td>曹操</td><td>(西皮摇板)</td>",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,战争,"（）<table><tr><td colspan=""3"">(四文堂引曹操同上。)</td></tr><tr><td>曹操</td><td>(西皮摇板)</td>",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,2,【第二场】,家国,"（）<table><tr><td colspan=""3"">(四文堂引曹操同上。)</td></tr><tr><td>曹操</td><td>(西皮摇板)</td>",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,3,【第四场】,权谋,"（）<table><tr><td colspan=""3"">(四朝官同上。)</td></tr><tr><td>朝官甲</td><td>(念)</td><td>日",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,3,【第四场】,战争,"（）<table><tr><td colspan=""3"">(四朝官同上。)</td></tr><tr><td>朝官甲</td><td>(念)</td><td>日",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,3,【第四场】,家国,"（）<table><tr><td colspan=""3"">(四朝官同上。)</td></tr><tr><td>朝官甲</td><td>(念)</td><td>日",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,3,【第四场】,亲情,"（）<table><tr><td colspan=""3"">(四朝官同上。)</td></tr><tr><td>朝官甲</td><td>(念)</td><td>日",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,3,【第四场】,公案,"（）<table><tr><td colspan=""3"">(四朝官同上。)</td></tr><tr><td>朝官甲</td><td>(念)</td><td>日",keyword
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,3,【第四场】,喜剧,"（）<table><tr><td colspan=""3"">(四朝官同上。)</td></tr><tr><td>朝官甲</td><td>(念)</td><td>日",keyword
