doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__000,0,序幕/前置内容,1,1,22,,,# 《独木关》；# （一名：《枪挑安殿宝》）,命令,# 《独木关》；# （一名：《枪挑安殿宝》）,铺垫,0,,战争；亲情；公案,引子,,,2,0,0,0.0,0.0,0.0,0,2,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__001,1,【第一场】,23,23,88,月字营,白天,张士贵过营探病薛礼,探病,张士贵因中军被伙头军殴打，前往月字营探病薛礼，薛礼抱病相见，张士贵假意慰问。,发展,3,张士贵；薛礼；周青；中军,将帅矛盾；权谋；英雄困境,推进,张士贵以探病为名，试图缓和与伙头军的矛盾，但双方关系仍紧张。,张士贵；中军；四龙套；众伙头军；周青；薛礼,31,22,0,0.3333,0.0,0.3333,4,5,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__002,2,【第二场】,89,89,92,战场,无,双方军队开打后迅速退场,开打,四龙套与蓝天弼、周青同上，双方开打，随即同下，为后续战斗铺垫。,铺垫,1,蓝天弼；周青,战争；冲突,引子,无转折，仅为战斗序幕,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__003,3,【第三场】,93,93,100,独木关军营,白天,薛礼得知安殿宝威胁，决定抱病出战,决意出战,薛礼病中听闻周青等不敌辽将安殿宝，不顾劝阻决意带病出战。,发展,3,薛礼；二老军,忠义；悲情；使命,推进,薛礼从病弱状态转为主动请战，冲突升级,薛礼；二老军,12,11,0,1.375,0.0,1.375,1,0,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__004,4,【第四场】,101,101,110,安殿宝营帐,无明确时间,何宗宪与张志龙被俘，安殿宝审问并下令暂押，准备擒拿薛礼后开刀。,审问与下令,何宗宪与张志龙被安殿宝俘虏，何宗宪假充薛礼被识破，安殿宝下令将二人绑缚，待擒薛礼后一同处斩。,冲突,4,何宗宪；安殿宝；张志龙,忠义；身份伪装；悲情,推进,何宗宪假充薛礼被识破，冲突升级，安殿宝决定等待薛礼一并处决。,张志龙；何宗宪；安殿宝,16,12,2,1.2,0.2,1.4,2,0,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__005,5,【第五场】,111,111,114,战场,无明确时间,周青与安殿宝两军会阵开打,开打,周青与伙头军对阵安殿宝及龙套，双方交战开打，战斗场面激烈，冲突直接爆发。,冲突,4,周青；安殿宝,战争；对抗,推进,无转折，直接进入战斗冲突,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__006,6,【第六场】,115,115,140,独木关营帐外,未明确,薛礼带病上马，誓言杀敌，二老军劝阻无效。,薛礼强撑病体上马出征,薛礼身患重病，眼昏不明，但依然强撑上马，誓言不杀安殿宝不回还，二老军劝阻不及。,发展,4,薛礼；二老军,英雄气概；悲情；忠义,推进,薛礼在病重中做出决断，不顾劝阻执意出战，冲突升级。,薛礼；二老军,12,6,0,0.2308,0.0,0.2308,4,2,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__007,7,【第七场】,141,141,148,战场,交战时刻,安殿宝与薛礼开打,武打,安殿宝击败周青后，与薛礼展开激烈交锋，双方武打后同下，冲突升级。,冲突,4,安殿宝；薛礼,武打；对抗,推进,薛礼登场与安殿宝直接对抗，冲突从单方面压制转为势均力敌。,安殿宝,3,1,0,0.125,0.0,0.125,2,0,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__008,8,【第八场】,149,149,176,独木关外高坡,战斗结束后,薛礼枪挑安殿宝，被唤醒后确认胜利，拜谢神灵并请总爷进关。,唤醒与确认,薛礼枪挑安殿宝后昏迷，被众伙头军唤醒，得知胜利后望空拜谢神灵，随后请总爷张士贵进关。,高潮,3,薛礼；众伙头军；周青,英雄气概；神灵庇佑；胜利与收束,收束,战斗结束，薛礼从昏迷中醒来确认胜利，冲突收束。,周青；众伙头军；薛礼,13,9,0,0.3214,0.0,0.3214,4,0,
pdf_01000000__01003017___51aaa5bf95,独木关,pdf_01000000__01003017___51aaa5bf95__scene__009,9,【第九场】,177,177,203,独木关,战后,张士贵冒领薛礼功劳，决定将功记在张志龙、何宗宪名下。,冒功,薛礼向张士贵汇报枪挑安殿宝、夺得独木关之功，张士贵轻描淡写，反将功劳归于自己儿子和何宗宪，并设宴庆功。,冲突,3,薛礼；张士贵；何宗宪,冒功；不公；隐忍,推进,张士贵公然决定冒功，加剧了与薛礼的潜在冲突。,薛礼；张士贵；何宗宪,13,6,0,0.2222,0.0,0.2222,6,1,
