doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01004006___13b2265b9d,辕门射戟,吕布,pdf_01000000__01004006___13b2265b9d__char__916b136e7f,16,103,1.0,0.8374,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,刘备,pdf_01000000__01004006___13b2265b9d__char__238f0dc566,14,112,0.875,0.9106,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,张飞,pdf_01000000__01004006___13b2265b9d__char__173560819f,12,123,0.75,1.0,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,纪灵,pdf_01000000__01004006___13b2265b9d__char__aae21e2109,12,60,0.75,0.4878,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,中军,pdf_01000000__01004006___13b2265b9d__char__b524d7bcb1,10,23,0.625,0.187,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,关羽,pdf_01000000__01004006___13b2265b9d__char__be46ac237c,7,23,0.4375,0.187,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,旗牌,pdf_01000000__01004006___13b2265b9d__char__7fb4a8e292,6,11,0.375,0.0894,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,龙套,pdf_01000000__01004006___13b2265b9d__char__dfb729e051,5,8,0.3125,0.065,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,报子,pdf_01000000__01004006___13b2265b9d__char__da11a22ecc,5,7,0.3125,0.0569,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,下书人,pdf_01000000__01004006___13b2265b9d__char__67a777d840,4,9,0.25,0.0732,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,雷同,pdf_01000000__01004006___13b2265b9d__char__c1e8379e9e,2,4,0.125,0.0325,relations_aggregated
pdf_01000000__01004006___13b2265b9d,辕门射戟,吴兰,pdf_01000000__01004006___13b2265b9d__char__2ab7647889,1,1,0.0625,0.0081,relations_aggregated
