doc_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,cue,text,raw_line
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,1,narration,narration,,,# 《空城计》（一名：《抚琴退兵》）,# 《空城计》（一名：《抚琴退兵》）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,29,narration,narration,,,# 【第一场】,# 【第一场】
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,31,stage_direction,stage_direction,,二童儿同上，诸葛亮上。,,（二童儿同上，诸葛亮上。）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,33,narration,narration,,,"<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</td></tr><tr><td>旗牌</td><td>(念)</td><td>手捧地理图,报与丞相知。</td></tr><tr><td></td><td>(白)</td><td>来此已是。门上哪位在?</td></tr><tr><td>童儿</td><td>(白)</td><td>什么人?</td></tr><tr><td>旗牌</td><td>(白)</td><td>烦劳通禀:献图人求见。</td></tr><tr><td>童儿</td><td>(白)</td><td>候着。</td></tr><tr><td></td><td></td><td>启禀丞相:献图人求见。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>传。</td></tr><tr><td>童儿</td><td>(白)</td><td>献图人,丞相传进。</td></tr><tr><td>旗牌</td><td>(白)</td><td>是,是。参见丞相。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>罢了。</td></tr><tr><td>旗牌</td><td>(白)</td><td>谢丞相。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>你奉何人所差?</td></tr><tr><td>旗牌</td><td>(白)</td><td>奉王将军所差。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>手捧何物?</td></tr><tr><td>旗牌</td><td>(白)</td><td>地理图。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>展开。</td></tr><tr><td colspan=""3"">(诸葛亮看图。旗牌欲下。)</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>转来。</td></tr><tr><td>旗牌</td><td>(白)</td><td>在。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>快快去到列柳城,调赵老将</td></tr><tr><td>旗牌</td><td>(白)</td><td>遵命。</td></tr><tr><td colspan=""3"">(旗牌下。)</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>嗳,好一个胆大的马谡呀。</td></tr></table>","<table><tr><td>诸葛亮(旗牌上。)</td><td>(念)</td><td>兵扎祁山地,要擒司马懿。</td></tr><tr><td>旗牌</td><td>(念)</td><td>手捧地理图,报与丞相知。</td></tr><tr><td></td><td>(白)</td><td>来此已是。门上哪位在?</td></tr><tr><td>童儿</td><td>(白)</td><td>什么人?</td></tr><tr><td>旗牌</td><td>(白)</td><td>烦劳通禀:献图人求见。</td></tr><tr><td>童儿</td><td>(白)</td><td>候着。</td></tr><tr><td></td><td></td><td>启禀丞相:献图人求见。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>传。</td></tr><tr><td>童儿</td><td>(白)</td><td>献图人,丞相传进。</td></tr><tr><td>旗牌</td><td>(白)</td><td>是,是。参见丞相。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>罢了。</td></tr><tr><td>旗牌</td><td>(白)</td><td>谢丞相。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>你奉何人所差?</td></tr><tr><td>旗牌</td><td>(白)</td><td>奉王将军所差。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>手捧何物?</td></tr><tr><td>旗牌</td><td>(白)</td><td>地理图。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>展开。</td></tr><tr><td colspan=""3"">(诸葛亮看图。旗牌欲下。)</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>转来。</td></tr><tr><td>旗牌</td><td>(白)</td><td>在。</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>快快去到列柳城,调赵老将</td></tr><tr><td>旗牌</td><td>(白)</td><td>遵命。</td></tr><tr><td colspan=""3"">(旗牌下。)</td></tr><tr><td>诸葛亮</td><td>(白)</td><td>嗳,好一个胆大的马谡呀。</td></tr></table>"
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,35,stage_direction,stage_direction,,报子上。,,（报子上。）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,37,dialogue,dialogue,报子,白,,报子 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,39,dialogue,dialogue,诸葛亮,白,,诸葛亮 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,41,dialogue,dialogue,报子,白,,报子 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,43,stage_direction,stage_direction,,报子下。,,（报子下。）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,45,dialogue,dialogue,诸葛亮,白,,诸葛亮 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,47,stage_direction,stage_direction,,报子上。,,（报子上。）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,49,dialogue,dialogue,报子,白,,报子 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,51,dialogue,dialogue,诸葛亮,白,,诸葛亮 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,53,dialogue,dialogue,报子,白,,报子 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,55,stage_direction,stage_direction,,报子下。,,（报子下。）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,57,dialogue,dialogue,诸葛亮,白,,诸葛亮 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,59,stage_direction,stage_direction,,报子上。,,（报子上。）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,61,dialogue,dialogue,报子,白,,报子 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,63,dialogue,dialogue,诸葛亮,白,,诸葛亮 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,65,dialogue,dialogue,报子,白,,报子 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,67,stage_direction,stage_direction,,报子下。,,（报子下。）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,69,dialogue,dialogue,诸葛亮,白,,诸葛亮 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,71,stage_direction,stage_direction,,童儿允。,,（童儿允。）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,73,dialogue,dialogue,诸葛亮,白,,诸葛亮 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,75,dialogue,dialogue,童儿,白,,童儿 （白）
pdf_01000000__01001001___b0ac065467,01001001_空城计.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001001_空城计.pdf,01000000/01001001_空城计.pdf,5e707aee-84dc-437f-ace5-4339d17a4514,0,序幕/前置内容,77,stage_direction,stage_direction,,二老军同上。,,（二老军同上。）
