doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by
pdf_01000000__01001001___b0ac065467,空城计,司马懿,司马昭,命令,9,同场共现；命令；对话；评价,父子同行，司马懿为主帅,llm
pdf_01000000__01001001___b0ac065467,空城计,诸葛亮,司马懿,提及,9,对话；提及；试探,"兵扎祁山地,要擒司马懿。",llm
pdf_01000000__01001001___b0ac065467,空城计,司马懿,诸葛亮,对抗,8,命令；对抗；对话；提及,司马懿率兵攻城，但被诸葛亮计策所惑,llm
pdf_01000000__01001001___b0ac065467,空城计,司马师,龙套,同场共现,7,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,司马懿,龙套,同场共现,7,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,旗牌,诸葛亮,汇报,7,对话；汇报,献地理图并传达王将军差遣,llm
pdf_01000000__01001001___b0ac065467,空城计,诸葛亮,旗牌,命令,7,命令；对话,命旗牌去列柳城调赵老将,llm
pdf_01000000__01001001___b0ac065467,空城计,司马昭,司马懿,对话,6,劝阻；对话,"听他琴内慌迫,一定是空城。乘此机会,杀进城去......",adjacency
pdf_01000000__01001001___b0ac065467,空城计,诸葛亮,赵云,命令,6,命令；对话,诸葛亮命赵云抵挡可能复来的司马懿,llm
pdf_01000000__01001001___b0ac065467,空城计,司马师,司马懿,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,司马师,司马昭,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,司马懿,赵云,对抗,4,同场共现；对抗；对话；提及,司马懿：收兵，收兵！,llm
pdf_01000000__01001001___b0ac065467,空城计,司马昭,龙套,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,诸葛亮,童儿,命令,4,同场共现；命令；对话,命童儿带瑶琴美酒随往敌楼,llm
pdf_01000000__01001001___b0ac065467,空城计,龙套,司马昭,同场共现,4,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,报子,诸葛亮,汇报,3,,三次报告马谡失街亭、司马懿复夺西城、大兵离西城四十余里,llm
pdf_01000000__01001001___b0ac065467,空城计,报子,司马懿,汇报,2,对话；汇报,报子：西城乃是空城。,llm
pdf_01000000__01001001___b0ac065467,空城计,旗牌,童儿,对话,2,,"手捧地理图,报与丞相知。",adjacency
pdf_01000000__01001001___b0ac065467,空城计,童儿,旗牌,对话,2,,什么人?,adjacency
pdf_01000000__01001001___b0ac065467,空城计,诸葛亮,老军,命令,2,同场共现；命令,命老军打开四门、打扫街道、不要害怕,llm
pdf_01000000__01001001___b0ac065467,空城计,赵云,诸葛亮,对话,2,,参见丞相。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,众人,司马懿,对话,1,,喝!,adjacency
pdf_01000000__01001001___b0ac065467,空城计,众人,诸葛亮,对话,1,,哦。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,司马师,报子,同场共现,1,,（四龙套、司马懿、司马师、司马昭同上。报子上。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,司马师,赵云,同场共现,1,,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,司马懿,众人,对话,1,,"坐在马上来观定,城楼上坐的是诸葛孔明。左右琴童来捧酒,打扫街道老弱残兵。我本当传将令杀进城,",adjacency
pdf_01000000__01001001___b0ac065467,空城计,司马懿,司马师,命令,1,,父子同行，司马懿为主帅,llm
pdf_01000000__01001001___b0ac065467,空城计,司马懿,报子,同场共现,1,,（四龙套、司马懿、司马师、司马昭同上。报子上。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,司马懿,老军,对话,1,,"待我说破于他。诸葛亮呀,诸葛孔明,你实城也罢,空城也罢,你司马老爷是不进城了。请呀请呀!",adjacency
pdf_01000000__01001001___b0ac065467,空城计,司马昭,报子,同场共现,1,,（四龙套、司马懿、司马师、司马昭同上。报子上。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,司马昭,赵云,同场共现,1,,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,报子,龙套,同场共现,1,,（四龙套、司马懿、司马师、司马昭同上。报子上。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,童儿,诸葛亮,对话,1,,候着。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,老军,司马懿,汇报,1,,启禀丞相:司马懿人马倒退四十余里。,mention
pdf_01000000__01001001___b0ac065467,空城计,老军,诸葛亮,对话,1,,启禀丞相:司马懿人马倒退四十余里。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,诸葛亮,马谡,评价,1,,悔不该差马谡无用之人,llm
pdf_01000000__01001001___b0ac065467,空城计,赵云,众人,同场共现,1,,（众人同允。四上手引赵云同上，两下会阵。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,赵云,司马懿,对话,1,,常山赵云。,adjacency
pdf_01000000__01001001___b0ac065467,空城计,赵云,龙套,同场共现,1,,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,龙套,司马师,同场共现,1,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,龙套,司马懿,同场共现,1,,（四白龙套同上，司马懿、司马师、司马昭同上，急急风过场，同下。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,龙套,报子,同场共现,1,,（四龙套、司马懿、司马师、司马昭同上。报子上。）,stage_direction
pdf_01000000__01001001___b0ac065467,空城计,龙套,赵云,同场共现,1,,（四龙套、司马懿、司马师、司马昭同下。四上手、赵云同下。）,stage_direction
