doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__001,1,【第一场】,铺垫,引子,1,0.25,0.75,0.0,0.75,无转折，为后续科举情节做铺垫,0,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__002,2,【第二场】,铺垫,铺垫,1,0.25,6.25,4.5,10.75,孟月华决定回娘家祭祖，留下王淑英独守门户，为后续冲突埋下伏笔,0,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__003,3,【第三场】,过渡,引子,1,0.25,0.0,0.0,0.0,无,0,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__004,4,【第四场】,发展,推进,3,0.75,2.9,0.8,3.7,月华独行遇雨，与陌生男子共处碑亭，为后续误会埋下伏笔。,1,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__005,5,【第六场】,铺垫,过渡,1,0.25,0.0,0.0,0.0,无转折，仅为过渡性场景,0,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__006,6,【第七场】,发展,推进,3,0.75,1.125,0.075,1.2,申嵩因鬼神点掇而取中文章较弱的考生，埋下后续情节伏笔；王淑英对孟月华的怀疑升级，为冲突做铺垫。,1,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__007,7,【第九场】,冲突,推进,4,1.0,17.75,2.0,19.75,王有道因猜忌休妻，导致夫妻分离，为后续剧情埋下伏笔。,1,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__008,8,【第十一场】,转折,反转,4,1.0,9.0,0.0,9.0,王有道发现被休妻子实为贤德烈女，从疑心转向悔悟，剧情发生重大转折。,1,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__009,9,【第十二场】,发展,推进,2,0.5,0.0,0.1667,0.1667,无转折，但强化了观众对王有道行为的负面评价,0,scene_metrics
pdf_01000000__01005010___9c2a4af4c4,御碑亭,pdf_01000000__01005010___9c2a4af4c4__scene__010,10,【第十三场】,收束,收束,2,0.5,1.0,0.16,1.16,夫妻关系由破裂转向和好，并促成柳生春与王淑英的婚事。,0,scene_metrics
