doc_id,doc_title,char_id,role_name,alias_names,role_type_raw,role_type_inferred,gender_inferred,age_inferred,status_identity,personality_tags,behavior_tags,speech_style,narrative_function,line_count,scene_coverage,scene_count_present,centrality_hint,evidence,source_line,raw,confidence,llm_error,role_note
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__c5e9da9fa3,汉献帝,,老生,老生,未知,偏老/中老年,高位/官员,[],[],[],,28,3；4；8；10,4,0.3805,汉献帝：老生,5,汉献帝：老生,0.3,No JSON object found in LLM response,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__e1bd96b7dd,曹操,孟德,净,净,未知,未知,未知,[],[],[],,85,2；3；7；9；10,5,1.0,曹操：净,7,曹操：净,0.3,No JSON object found in LLM response,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__9dd690d913,伏后,,旦,旦,未知,未知,未知,[],[],[],,10,4；8；9,3,0.2699,伏后：旦,9,伏后：旦,0.3,No JSON object found in LLM response,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__9517bd5ccf,曹妃,,旦,旦,女,未知,未知,[],[],[],,7,8；10,2,0.1372,曹妃：旦,11,曹妃：旦,0.3,No JSON object found in LLM response,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__3fba7bea98,穆顺,,生,生,未知,未知,未知,[],[],[],,42,4；5；7,3,0.5354,穆顺：生,13,穆顺：生,0.3,No JSON object found in LLM response,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__c784474173,二皇子,,娃娃生,娃娃生,未知,偏少/少年,未知,[],[],[],,4,8；10,2,0.1283,二皇子：娃娃生,15,二皇子：娃娃生,0.3,No JSON object found in LLM response,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__64a86b2865,伏完,,生,生,未知,未知,未知,[],[],[],,0,,0,0.0044,伏完：生,17,伏完：生,0.3,No JSON object found in LLM response,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__c3323ed43f,华歆,,丑,丑,未知,未知,未知,[],[],[],,24,2；7；9；10,4,0.4115,华歆：丑,19,华歆：丑,0.3,No JSON object found in LLM response,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__2df9eac30e,司马懿,司马；司马仲达,老生,老生,男,中年,魏国重臣、丞相府谋士,谨慎；圆滑；善于进谏,劝谏；求情；领命出征,谦恭有礼；引经据典；委婉劝谏,配角,6,2；9；10,3,0.0841,"司马懿（白）司马懿。 （八校尉、司马懿、华歆、曹操同上。） 司马懿（二黄摇板）伏后不必跪埃尘,为臣怎敢欺当今。官卑职小难救命,那厢恳求姓华人! 司马懿（二黄摇板）丞相息怒暂稍停! 司马懿（白）且慢!丞相看在献帝分上,赏她棺木一具! 司马懿（白）杀也在丞相,放也在丞相。自古云“饶人是福”! 曹操（白）搭下去。 司马懿听令:带领二十万雄兵,大下江南! 司马懿（白）得令!",21,司马懿：老生,0.95,,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__c58aaf1cdb,贾诩,,老生,老生,男,中年,魏国谋士,谨慎；低调；善于自保,应约赴会；询问缘由,谦逊；简洁；礼貌,配角,4,2,1,0.0354,"贾诩（白）贾诩。 贾诩（白）来得匆匆,望张将军恕罪。 贾诩（白）不知将军相约我等,所为何事? 贾诩（白）只因张将军相约,故而来早。",23,贾诩：老生,0.9,,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__5eba43198b,郄虑,,净,净,男,中年,魏国官员,刚直；寡言,参与集会,简短；直接,功能性角色,1,2,1,0.0088,郄虑（白）郄虑。,25,郄虑：净,0.8,,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__f60689b848,王粲,,生,生,男,中年,魏国文官,文雅；低调,参与集会,简洁,功能性角色,1,2,1,0.0088,王粲（白）王粲。,27,王粲：生,0.8,,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__2290058c52,曹植,,小生,小生,男,青年,曹操之子、公子,才气横溢；谦逊有礼,拜见长辈；参与集会,文雅；恭敬,配角,2,2,1,0.0265,"曹植（白）曹植。 曹植（白）吓,贾大人请上,受晚生一拜!",29,曹植：小生,0.9,,
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__char__94350a27fe,文聘,,生,生,男,中年,魏国武将,豪爽；直率,参与集会；与同僚交谈,简洁；有力,配角,4,2,1,0.031,"文聘（白）文聘。 文聘（同白）是哪两处? 文聘（同念）但愿狼烟尽皆扫, 文聘（同白）请!",31,文聘：生,0.85,,
