doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01003001___7e8bcc7c30,琼林宴,范仲禹,pdf_01000000__01003001___7e8bcc7c30__char__912da7791f,13,139,1.0,1.0,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,葛登云,pdf_01000000__01003001___7e8bcc7c30__char__46313980b6,8,51,0.6154,0.3669,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,报禄甲,pdf_01000000__01003001___7e8bcc7c30__char__d10d5c17a8,6,59,0.4615,0.4245,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,樵夫,pdf_01000000__01003001___7e8bcc7c30__char__fd012cf0f9,5,70,0.3846,0.5036,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,报禄乙,pdf_01000000__01003001___7e8bcc7c30__char__52533890d6,5,61,0.3846,0.4388,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,家院,pdf_01000000__01003001___7e8bcc7c30__char__99269f19c1,5,21,0.3846,0.1511,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,四青袍,pdf_01000000__01003001___7e8bcc7c30__char__cf54dfe85f,4,4,0.3077,0.0288,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,杀神,pdf_01000000__01003001___7e8bcc7c30__char__ac75efbdc9,3,5,0.2308,0.036,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,葛虎,pdf_01000000__01003001___7e8bcc7c30__char__520cf18708,3,7,0.2308,0.0504,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,土地,pdf_01000000__01003001___7e8bcc7c30__char__7d38eb3fc6,2,4,0.1538,0.0288,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,童儿,pdf_01000000__01003001___7e8bcc7c30__char__26c9961bbb,1,2,0.0769,0.0144,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,打扫书房,pdf_01000000__01003001___7e8bcc7c30__char__f19e7e590b,1,1,0.0769,0.0072,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,亮架子,pdf_01000000__01003001___7e8bcc7c30__char__ecab0f12f3,1,1,0.0769,0.0072,relations_aggregated
pdf_01000000__01003001___7e8bcc7c30,琼林宴,起霸,pdf_01000000__01003001___7e8bcc7c30__char__5f3d0fef47,1,1,0.0769,0.0072,relations_aggregated
