doc_id,doc_title,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__000,0,序幕/前置内容,1,1,24,,,# 《连营寨》 （一名：《火烧连营七百里》）,命令,# 《连营寨》 （一名：《火烧连营七百里》）,铺垫,0,,忠义；权谋；战争；家国；亲情；公案,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__001,1,【第一场】,25,25,40,东吴大帐,无明确时间,甘宁升帐点兵，下令起兵,起兵前往,东吴众将起霸点将，甘宁升帐发令，众将禀报齐备，甘宁下令起兵前往。,铺垫,1,甘宁；韩当；周泰；糜芳；傅士仁；马忠；夏旬,战争；战争,引子,无转折，为出征前常规点将,众将；韩当；周泰；糜芳；傅士仁；马忠；夏旬；甘宁,19,16,0,1.0,0.0,1.0,3,0,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__002,2,【第二场】,41,41,108,蜀营,白天,刘备检阅蛮兵并部署迎战吴军,检阅与调兵,刘备检阅沙摩柯的蛮兵操练，认为其兵势精壮。报子报韩当等攻打蜀营，刘备命沙摩柯打头阵，张苞、关兴接应，与甘宁交战。,发展,3,刘备；沙摩柯；张苞；关兴；甘宁,战争；指挥；联盟,推进,报子报信触发刘备主动出击的决断,刘备；张南；沙摩柯；报子；张苞,32,11,0,0.1618,0.0,0.1618,8,13,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__003,3,【第三场】,109,109,132,战场,交战时刻,众人以乱箭射退甘宁，并乘胜追击,放箭、追赶,关兴、张苞担忧甘宁厉害，沙摩柯提议乱箭齐发。甘宁追来，众人放箭，甘宁带箭下，关兴、张苞下令追赶。,冲突,4,关兴；张苞；沙摩柯；甘宁,战争；权谋；勇武,推进,甘宁中箭败退，蜀方取得战术优势，冲突升级为追击,张苞；沙摩柯,11,3,0,0.125,0.0,0.125,3,5,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__004,4,【第四场】,133,133,186,江南岸战场,交战期间,甘宁自刎，吴军分守两岸，众将密谋叛变,吴军将领商议防守并出现内部分裂,吴军将领甘宁自刎殉国，韩当、周泰分守江北，马忠、麋芳、傅士仁守江南。蜀军势盛，吴军内部出现叛变意图，众将密谋杀麋芳、傅士仁献首级于刘备。,冲突,4,甘宁；韩当；周泰；马忠；麋芳；傅士仁,忠义；背叛；战争；绝望,推进,吴军内部出现叛变意图，众将密谋杀麋芳、傅士仁献功，冲突从外部转向内部,甘宁；韩当；周泰；麋芳；马忠；傅士仁；众将,26,10,0,0.1852,0.0,0.1852,6,10,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__005,5,【第五场】,187,187,206,营帐附近,夜间,麋芳与傅士仁合谋杀死马忠，准备投靠刘备。,谋杀与逃亡,麋芳与傅士仁为自保，合谋杀死马忠，欲将其首级献给刘备，随后逃离。,转折,3,麋芳；傅士仁；马忠,背叛；自保；权谋,推进,麋芳与傅士仁从被动恐惧转为主动谋杀马忠，意图投敌，冲突升级。,麋芳；傅士仁；糜芳,9,6,0,0.3,0.0,0.3,3,0,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__006,6,【第六场】,207,207,258,吴国金殿,清晨,孙权接报甘宁阵亡，感叹无人可解危局,呈报与忧虑,孙权因刘备征讨而忧虑，吕范呈上韩当、周泰求援奏本，孙权得知甘宁阵亡，感叹国中无人可解危局。,发展,3,孙权；吕范,战争；人才凋零；悲情,推进,孙权得知甘宁阵亡，危机感加剧，为后续决策铺垫,吕范；诸葛瑾；阚泽；赵咨；众人；孙权,24,21,0,0.4038,0.0,0.4038,3,0,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__007,7,【第七场】,259,259,266,刘备营帐,刘备伐吴期间,诸葛瑾奉孙权之命前来求和，刘备拒绝并怒斥。,刘备怒斥诸葛瑾，拒绝和谈。,刘备痛恨东吴，关兴、张苞献上麋芳、傅士仁及马忠首级，诸葛瑾前来求和，刘备怒斥其巧言，拒绝和谈。,冲突,4,刘备；诸葛瑾；关兴；张苞；张南,复仇；忠义；战争,对峙,刘备拒绝和谈，冲突升级，战争不可避免。,刘备；关兴；张苞；关兴、张苞；张南；诸葛瑾,23,22,0,2.75,0.0,2.75,1,0,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__008,8,【第八场】,267,267,272,灵堂,刘备伐吴期间,刘备哭祭二弟三弟，斩杀仇人，决意伐吴,哭祭与斩杀,刘备在灵堂哭祭关羽、张飞，斩首范疆、张达、傅士仁，并亲手杀死有郎舅之情的糜芳，誓师伐吴。,高潮,5,刘备；关兴；张苞；范疆；张达；傅士仁；麋芳,复仇；忠义；决断；牺牲,高潮,刘备斩杀糜芳，彻底断绝和议可能，将复仇推向不可逆转,傅士仁；麋芳；张达；范疆；张苞；刘备；关兴；关兴、张苞,13,6,7,1.0,1.1667,2.1667,0,0,
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__scene__009,9,【第九场】,273,273,278,吴国朝堂,刘备伐吴期间,孙权在阚泽力保下决定拜陆逊为帅，抵御刘备。,举荐与任命,孙权因刘备进攻而忧虑，阚泽推荐陆逊为帅，孙权顾虑其年幼，阚泽力保，最终孙权赐尚方宝剑，拜陆逊为帅。,转折,3,孙权；阚泽；陆逊,使命；力排众议；使命,推进,孙权从犹豫到决断，任命陆逊为帅，为后续战局转折埋下伏笔。,孙权；阚泽；陆逊,20,20,0,3.3333,0.0,3.3333,0,0,
